customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,month,last_contact_duration,num_contacts_in_campaign,num_contacts_prev_campaign,prev_campaign_outcome,term_deposit_subscribed,mid_month
41.0,technician,single,tertiary,no,-93.0,yes,no,feb,186.0,4.0,4,failure,0,0
28.0,blue-collar,married,secondary,no,1783.0,yes,no,jun,78.0,2.0,0,unknown,0,0
31.0,management,married,tertiary,no,184.0,no,no,feb,131.0,1.0,0,unknown,0,0
37.0,management,married,tertiary,no,88.0,yes,no,may,149.0,10.0,0,unknown,0,1
50.0,housemaid,married,primary,no,5141.0,no,no,jun,182.0,1.0,0,unknown,0,0
38.0,management,married,tertiary,no,52.0,no,no,may,120.0,3.0,0,unknown,0,1
55.0,blue-collar,married,secondary,no,70.0,yes,no,may,618.0,2.0,0,unknown,0,0
39.0,blue-collar,single,secondary,no,164.0,yes,no,apr,209.0,1.0,1,failure,0,1
34.0,admin.,single,secondary,no,1069.0,no,no,nov,264.0,2.0,0,unknown,0,1
31.0,admin.,single,tertiary,no,699.0,yes,no,may,74.0,2.0,0,unknown,0,1
55.0,unknown,married,primary,no,10.0,no,no,oct,258.0,2.0,0,unknown,0,1
49.0,technician,married,secondary,no,174.0,yes,yes,jul,193.0,1.0,0,unknown,0,0
58.0,blue-collar,single,secondary,no,1187.0,yes,no,feb,28.0,2.0,0,unknown,0,0
39.0,management,married,tertiary,no,46.0,no,yes,aug,139.0,1.0,0,unknown,0,1
40.0,retired,divorced,primary,no,5800.0,no,no,aug,104.0,5.0,0,unknown,0,0
36.0,admin.,single,secondary,no,143.0,no,no,jul,165.0,2.0,0,unknown,0,0
30.0,technician,married,unknown,no,-1.0,no,no,may,180.0,2.0,0,unknown,0,0
34.0,technician,married,tertiary,no,198.0,no,no,oct,255.0,1.0,2,failure,0,0
51.0,management,married,tertiary,no,1886.0,no,no,nov,236.0,3.0,0,unknown,0,1
26.0,technician,single,secondary,no,249.0,no,no,jan,716.0,2.0,0,unknown,0,1
30.0,services,married,secondary,no,412.0,yes,no,may,214.0,1.0,0,unknown,0,0
56.0,management,divorced,tertiary,no,155.0,no,no,aug,312.0,2.0,0,unknown,0,0
55.0,management,single,tertiary,no,1100.0,no,no,aug,202.0,2.0,0,unknown,0,1
29.0,management,single,tertiary,no,878.0,yes,no,mar,245.0,1.0,2,success,1,1
56.0,management,married,tertiary,no,4608.0,no,no,sep,208.0,2.0,2,failure,0,0
44.0,technician,married,tertiary,no,-2.0,no,no,feb,137.0,1.0,0,unknown,0,0
33.0,admin.,married,secondary,no,114.0,yes,no,feb,198.0,1.0,0,unknown,0,0
42.0,blue-collar,married,primary,no,163.0,yes,no,may,59.0,6.0,0,unknown,0,1
34.0,entrepreneur,married,secondary,no,3115.0,yes,no,nov,506.0,1.0,4,failure,0,1
58.0,admin.,married,secondary,no,304.0,no,yes,jul,235.0,2.0,0,unknown,0,0
49.0,services,married,secondary,no,195.0,yes,yes,may,290.0,6.0,0,unknown,0,0
40.0,technician,divorced,secondary,no,1335.0,yes,yes,jan,566.0,2.0,1,failure,0,1
41.0,admin.,divorced,tertiary,no,995.0,yes,no,may,434.0,3.0,0,unknown,0,0
38.0,management,divorced,tertiary,no,4569.0,yes,yes,jul,99.0,1.0,0,unknown,0,1
32.0,services,single,secondary,no,292.0,yes,no,may,259.0,2.0,0,unknown,0,0
33.0,management,single,tertiary,no,-2.0,no,no,aug,167.0,4.0,0,unknown,0,1
45.0,admin.,divorced,secondary,no,1112.0,yes,no,may,425.0,1.0,0,unknown,0,0
38.0,technician,married,secondary,no,196.0,yes,no,may,366.0,2.0,0,unknown,0,0
46.0,blue-collar,married,unknown,no,388.0,no,no,jun,354.0,4.0,0,unknown,0,0
32.0,management,married,tertiary,no,0.0,no,no,aug,206.0,4.0,0,unknown,0,1
27.0,self-employed,married,tertiary,no,1934.0,no,no,nov,60.0,1.0,0,unknown,0,1
29.0,blue-collar,married,primary,no,198.0,yes,no,may,327.0,2.0,0,unknown,0,1
38.0,blue-collar,married,primary,no,1.0,no,no,jun,169.0,1.0,0,unknown,0,0
45.0,blue-collar,married,primary,no,681.0,yes,no,may,384.0,4.0,0,unknown,0,0
48.0,services,single,secondary,no,518.0,yes,no,may,358.0,1.0,1,failure,0,0
27.0,admin.,single,secondary,no,68.0,yes,no,may,450.0,1.0,3,failure,0,0
60.0,unemployed,married,tertiary,no,2.0,yes,no,jul,255.0,1.0,0,unknown,0,0
53.0,admin.,married,unknown,no,214.0,no,no,nov,116.0,2.0,0,unknown,0,1
41.0,services,married,secondary,no,-272.0,yes,no,jul,141.0,10.0,0,unknown,0,1
36.0,admin.,married,secondary,no,18.0,yes,yes,oct,102.0,1.0,0,unknown,0,0
47.0,services,divorced,secondary,no,204.0,yes,no,may,73.0,2.0,0,unknown,0,0
24.0,admin.,married,secondary,no,969.0,yes,no,jun,180.0,1.0,0,unknown,0,0
33.0,management,married,tertiary,no,444.0,no,no,jun,238.0,3.0,0,unknown,1,1
31.0,management,married,tertiary,no,5879.0,no,no,oct,450.0,1.0,2,failure,1,1
48.0,blue-collar,single,secondary,no,2609.0,yes,no,may,418.0,2.0,0,unknown,0,0
55.0,entrepreneur,married,tertiary,no,1956.0,no,no,dec,337.0,1.0,0,unknown,1,0
48.0,technician,married,secondary,no,142.0,no,no,aug,128.0,2.0,0,unknown,0,1
29.0,technician,married,secondary,no,341.0,yes,yes,may,58.0,11.0,0,unknown,0,0
36.0,management,married,tertiary,no,49.0,no,no,aug,59.0,4.0,0,unknown,0,1
36.0,management,married,tertiary,no,2123.0,yes,no,jul,231.0,3.0,0,unknown,0,1
36.0,technician,married,secondary,no,5116.0,yes,no,may,41.0,4.0,0,unknown,0,1
44.0,admin.,married,secondary,no,-2.0,no,no,may,76.0,3.0,0,unknown,0,1
52.0,technician,married,secondary,no,195.0,yes,no,dec,113.0,2.0,3,failure,0,1
43.0,unemployed,single,primary,no,213.0,no,no,jun,573.0,3.0,0,unknown,1,0
53.0,services,divorced,primary,no,2298.0,yes,no,may,158.0,2.0,0,unknown,0,0
34.0,blue-collar,married,secondary,no,289.0,yes,no,jun,177.0,2.0,0,unknown,0,0
45.0,services,married,secondary,no,6909.0,no,no,jun,779.0,2.0,0,unknown,0,0
34.0,admin.,single,tertiary,no,1535.0,yes,no,may,45.0,1.0,5,failure,0,0
32.0,technician,married,secondary,no,157.0,yes,yes,jul,114.0,2.0,0,unknown,0,0
45.0,technician,married,tertiary,no,1798.0,no,no,jan,367.0,2.0,0,unknown,0,1
31.0,services,single,secondary,no,1.0,no,no,jan,95.0,1.0,0,unknown,0,1
29.0,blue-collar,married,primary,no,342.0,no,no,nov,12.0,1.0,0,unknown,0,1
44.0,services,married,secondary,no,6348.0,yes,no,may,44.0,1.0,0,unknown,0,0
47.0,blue-collar,married,unknown,no,3111.0,no,no,aug,187.0,2.0,0,unknown,0,0
31.0,technician,single,secondary,no,141.0,no,no,nov,312.0,4.0,0,unknown,0,1
35.0,services,single,secondary,no,774.0,yes,no,feb,227.0,2.0,1,failure,0,0
33.0,blue-collar,married,secondary,no,1789.0,yes,no,apr,371.0,2.0,0,unknown,0,1
37.0,technician,married,tertiary,no,-361.0,no,no,aug,98.0,2.0,0,unknown,0,1
39.0,management,single,tertiary,no,102.0,yes,no,may,342.0,1.0,0,unknown,0,0
29.0,blue-collar,divorced,secondary,no,247.0,yes,yes,may,137.0,2.0,0,unknown,0,0
31.0,blue-collar,divorced,secondary,no,876.0,yes,yes,jan,265.0,3.0,1,failure,0,1
31.0,blue-collar,married,secondary,no,76.0,yes,yes,jul,282.0,1.0,0,unknown,0,1
49.0,admin.,married,secondary,no,208.0,no,no,may,10.0,1.0,0,unknown,0,1
38.0,management,divorced,tertiary,no,6568.0,yes,no,nov,40.0,2.0,0,unknown,0,1
32.0,management,married,tertiary,no,1331.0,no,no,feb,199.0,2.0,1,success,1,0
32.0,admin.,married,secondary,no,1161.0,yes,no,apr,40.0,2.0,0,unknown,0,1
56.0,admin.,married,unknown,no,0.0,yes,no,nov,206.0,1.0,2,failure,0,1
48.0,technician,married,secondary,no,1941.0,yes,yes,aug,175.0,2.0,0,unknown,0,0
46.0,self-employed,married,secondary,no,1563.0,no,no,dec,532.0,3.0,3,failure,0,1
39.0,services,married,secondary,no,200.0,no,no,jan,224.0,2.0,0,unknown,0,1
46.0,management,married,tertiary,no,509.0,no,no,apr,226.0,2.0,0,unknown,1,1
45.0,management,married,tertiary,no,0.0,no,no,jun,93.0,2.0,0,unknown,0,1
45.0,management,divorced,tertiary,no,542.0,yes,no,may,67.0,1.0,2,other,0,0
53.0,blue-collar,married,primary,no,105.0,yes,no,may,122.0,2.0,0,unknown,0,1
28.0,admin.,married,secondary,no,-362.0,yes,yes,jun,102.0,1.0,0,unknown,0,0
37.0,technician,married,secondary,no,6387.0,yes,yes,nov,81.0,1.0,0,unknown,0,1
29.0,technician,single,secondary,no,-5.0,yes,no,may,192.0,1.0,0,unknown,0,0
35.0,blue-collar,married,primary,no,3150.0,yes,no,jun,248.0,3.0,0,unknown,0,1
41.0,blue-collar,married,primary,no,571.0,no,no,feb,256.0,1.0,0,unknown,0,0
29.0,technician,single,secondary,no,196.0,no,no,aug,319.0,2.0,0,unknown,0,0
40.0,management,single,secondary,no,110.0,yes,no,aug,23.0,9.0,0,unknown,0,1
61.0,retired,married,secondary,no,602.0,yes,no,may,38.0,1.0,0,unknown,0,0
26.0,management,married,tertiary,no,122.0,yes,no,may,705.0,2.0,0,unknown,0,1
30.0,technician,single,secondary,no,2391.0,no,no,aug,115.0,1.0,0,unknown,0,0
31.0,management,married,tertiary,no,2732.0,yes,yes,may,49.0,1.0,0,unknown,0,1
40.0,services,married,secondary,no,434.0,yes,no,may,426.0,6.0,3,other,0,0
24.0,blue-collar,single,secondary,no,2355.0,no,yes,may,113.0,1.0,0,unknown,0,1
33.0,management,single,tertiary,no,111.0,yes,no,jul,78.0,2.0,0,unknown,0,0
32.0,management,single,tertiary,no,3772.0,yes,no,feb,67.0,4.0,1,failure,0,0
31.0,blue-collar,single,secondary,no,1033.0,yes,yes,apr,335.0,2.0,2,failure,0,1
39.0,technician,married,secondary,no,1629.0,yes,no,may,215.0,3.0,0,unknown,0,1
53.0,services,married,secondary,no,529.0,yes,no,jul,124.0,2.0,0,unknown,0,1
31.0,management,single,tertiary,no,37.0,no,no,aug,174.0,2.0,0,unknown,0,1
57.0,self-employed,divorced,secondary,no,152.0,no,no,jun,830.0,3.0,0,unknown,0,1
30.0,blue-collar,single,secondary,no,2741.0,no,no,jan,448.0,1.0,0,unknown,0,1
35.0,blue-collar,married,secondary,no,2693.0,yes,no,apr,442.0,1.0,0,unknown,0,1
36.0,technician,married,secondary,no,2200.0,no,no,apr,368.0,1.0,0,unknown,1,0
47.0,entrepreneur,married,secondary,no,7902.0,yes,yes,aug,381.0,2.0,0,unknown,0,1
35.0,blue-collar,married,secondary,no,177.0,yes,no,may,373.0,2.0,0,unknown,0,0
47.0,management,married,tertiary,no,267.0,yes,no,jul,92.0,2.0,0,unknown,0,0
29.0,management,married,tertiary,no,2.0,yes,no,may,205.0,1.0,0,unknown,0,1
47.0,management,married,secondary,no,-2.0,yes,no,may,80.0,4.0,0,unknown,0,0
33.0,technician,single,secondary,yes,-483.0,yes,no,apr,1065.0,1.0,0,unknown,1,1
54.0,self-employed,married,tertiary,no,544.0,no,no,feb,56.0,5.0,0,unknown,0,0
48.0,management,single,tertiary,no,34.0,no,yes,jul,173.0,1.0,0,unknown,0,0
52.0,management,divorced,tertiary,no,2910.0,yes,no,may,94.0,1.0,0,unknown,0,1
26.0,management,married,tertiary,no,245.0,yes,no,mar,354.0,2.0,1,other,0,1
36.0,management,married,tertiary,no,289.0,no,yes,aug,139.0,1.0,0,unknown,0,0
31.0,entrepreneur,married,tertiary,no,280.0,yes,no,apr,37.0,5.0,2,failure,0,1
33.0,management,married,tertiary,no,3297.0,yes,no,jun,471.0,2.0,4,failure,1,1
54.0,technician,married,secondary,no,2312.0,yes,no,may,283.0,3.0,2,failure,0,0
33.0,blue-collar,married,tertiary,no,11.0,yes,no,jun,128.0,3.0,0,unknown,0,1
28.0,admin.,single,secondary,no,-136.0,no,no,jul,106.0,1.0,0,unknown,0,1
52.0,blue-collar,married,primary,no,1014.0,yes,no,apr,78.0,1.0,0,unknown,0,1
38.0,technician,married,secondary,no,274.0,no,no,aug,63.0,6.0,0,unknown,0,1
26.0,management,single,tertiary,no,125.0,no,yes,jul,177.0,1.0,0,unknown,0,0
37.0,management,married,tertiary,no,413.0,yes,no,apr,159.0,1.0,0,unknown,0,0
26.0,services,single,secondary,no,451.0,no,no,apr,129.0,2.0,0,unknown,1,1
31.0,technician,married,secondary,no,1094.0,yes,no,jun,108.0,3.0,0,unknown,0,0
51.0,management,married,tertiary,no,915.0,yes,no,may,246.0,4.0,0,unknown,0,0
28.0,management,married,tertiary,no,476.0,yes,no,nov,68.0,5.0,0,unknown,0,1
29.0,blue-collar,single,secondary,no,901.0,yes,yes,may,209.0,7.0,0,unknown,0,1
41.0,technician,divorced,secondary,no,2179.0,no,no,aug,188.0,10.0,0,unknown,0,1
35.0,student,single,unknown,no,39.0,yes,no,may,707.0,1.0,0,unknown,0,1
30.0,management,married,tertiary,no,352.0,yes,no,apr,73.0,2.0,2,other,0,0
23.0,student,single,secondary,no,1745.0,no,no,aug,504.0,2.0,0,unknown,0,1
62.0,retired,divorced,secondary,no,1096.0,no,no,jul,756.0,2.0,0,unknown,1,0
44.0,admin.,married,secondary,no,-1093.0,yes,yes,jul,149.0,4.0,0,unknown,0,1
45.0,unemployed,married,secondary,no,1035.0,no,no,may,136.0,5.0,0,unknown,0,1
37.0,blue-collar,married,primary,no,-1.0,no,no,jun,612.0,4.0,0,unknown,0,1
36.0,technician,single,secondary,no,25.0,yes,no,may,75.0,2.0,2,failure,0,1
33.0,management,single,secondary,no,356.0,yes,no,may,285.0,1.0,0,unknown,0,1
29.0,technician,married,secondary,no,27.0,no,no,aug,166.0,2.0,0,unknown,0,1
32.0,management,single,tertiary,no,1717.0,yes,no,may,288.0,2.0,0,unknown,0,1
32.0,blue-collar,married,secondary,no,-661.0,yes,yes,may,41.0,2.0,0,unknown,0,1
39.0,unemployed,single,secondary,no,358.0,yes,no,may,234.0,2.0,2,failure,0,0
27.0,admin.,married,secondary,no,-2.0,yes,yes,may,83.0,1.0,0,unknown,0,1
20.0,blue-collar,single,primary,no,3201.0,yes,no,may,180.0,1.0,2,failure,0,0
32.0,services,married,secondary,no,1804.0,yes,no,feb,129.0,1.0,2,failure,0,0
32.0,technician,married,tertiary,no,4658.0,yes,yes,jul,149.0,2.0,0,unknown,0,0
42.0,management,single,tertiary,no,265.0,yes,no,jul,83.0,5.0,0,unknown,0,1
39.0,services,married,tertiary,no,-123.0,yes,no,may,286.0,1.0,0,unknown,0,1
61.0,retired,married,tertiary,no,-5.0,no,no,aug,106.0,3.0,0,unknown,0,1
52.0,management,married,secondary,no,428.0,yes,no,may,147.0,1.0,0,unknown,0,1
38.0,admin.,single,secondary,no,1061.0,yes,no,may,78.0,4.0,0,unknown,0,1
33.0,technician,single,secondary,no,-56.0,yes,no,may,57.0,2.0,0,unknown,0,1
39.0,technician,married,secondary,no,-3.0,yes,yes,nov,97.0,1.0,0,unknown,0,1
50.0,retired,divorced,primary,no,662.0,yes,no,may,3.0,5.0,0,unknown,0,0
41.0,blue-collar,divorced,unknown,no,536.0,no,no,may,157.0,2.0,0,unknown,0,1
42.0,management,married,tertiary,no,979.0,no,no,aug,158.0,1.0,0,unknown,0,1
44.0,blue-collar,married,secondary,no,7890.0,yes,no,feb,889.0,1.0,0,unknown,1,0
39.0,blue-collar,married,primary,no,2521.0,yes,no,may,258.0,4.0,0,unknown,0,0
42.0,management,married,secondary,no,108.0,no,no,jun,667.0,2.0,0,unknown,1,1
51.0,entrepreneur,married,primary,no,3339.0,yes,yes,may,216.0,1.0,0,unknown,0,1
46.0,blue-collar,married,secondary,no,1094.0,yes,yes,feb,178.0,2.0,0,unknown,0,0
60.0,management,divorced,tertiary,no,5697.0,no,no,apr,370.0,1.0,1,success,1,1
32.0,blue-collar,married,secondary,no,717.0,yes,no,may,25.0,1.0,0,unknown,0,0
60.0,services,married,secondary,no,293.0,no,yes,jul,245.0,4.0,0,unknown,0,1
41.0,services,single,secondary,no,2.0,no,no,jun,209.0,2.0,0,unknown,0,1
44.0,unemployed,married,unknown,no,189.0,no,no,aug,692.0,2.0,0,unknown,1,0
42.0,blue-collar,married,primary,no,1068.0,no,no,jul,40.0,2.0,0,unknown,0,1
38.0,technician,married,secondary,no,0.0,no,no,mar,82.0,1.0,0,unknown,0,0
34.0,blue-collar,married,secondary,no,3879.0,yes,no,apr,9.0,5.0,0,unknown,0,1
39.0,blue-collar,married,tertiary,no,1988.0,yes,no,apr,114.0,2.0,0,unknown,0,1
54.0,retired,divorced,secondary,no,-57.0,no,yes,jul,353.0,10.0,0,unknown,0,0
38.0,management,married,tertiary,no,385.0,no,no,may,193.0,2.0,0,unknown,0,1
45.0,blue-collar,married,primary,no,296.0,yes,no,aug,969.0,4.0,0,unknown,0,1
53.0,admin.,married,secondary,no,-1601.0,no,yes,may,100.0,2.0,0,unknown,0,0
50.0,management,married,tertiary,no,5793.0,no,no,nov,642.0,1.0,0,unknown,0,1
39.0,self-employed,married,secondary,no,308.0,yes,no,may,716.0,2.0,0,unknown,0,1
38.0,services,married,secondary,no,54.0,yes,no,may,20.0,9.0,0,unknown,0,0
39.0,services,divorced,secondary,no,5767.0,yes,yes,may,404.0,1.0,0,unknown,0,1
44.0,admin.,married,secondary,no,821.0,yes,no,may,146.0,2.0,0,unknown,0,1
45.0,blue-collar,divorced,primary,no,4.0,no,yes,jul,388.0,1.0,0,unknown,0,0
29.0,self-employed,single,primary,no,162.0,no,no,feb,211.0,3.0,0,unknown,0,0
31.0,blue-collar,single,secondary,no,565.0,yes,no,may,280.0,2.0,4,other,0,0
64.0,unknown,married,unknown,no,2795.0,no,no,sep,375.0,4.0,0,unknown,0,0
51.0,management,divorced,tertiary,no,-808.0,yes,no,aug,135.0,3.0,0,unknown,0,0
30.0,admin.,married,secondary,no,410.0,yes,no,apr,83.0,3.0,2,failure,0,1
26.0,admin.,married,secondary,no,319.0,yes,no,jul,681.0,2.0,0,unknown,0,0
51.0,blue-collar,married,secondary,no,736.0,no,yes,jun,129.0,1.0,0,unknown,0,0
33.0,technician,single,secondary,no,-414.0,yes,no,may,102.0,1.0,0,unknown,0,1
56.0,blue-collar,married,primary,no,-544.0,no,no,aug,1170.0,6.0,0,unknown,1,1
49.0,unemployed,married,primary,no,129.0,yes,no,nov,172.0,2.0,0,unknown,0,1
38.0,retired,married,primary,no,208.0,no,no,may,251.0,1.0,0,unknown,0,0
42.0,management,married,tertiary,no,1045.0,yes,no,jun,92.0,1.0,0,unknown,0,0
71.0,retired,divorced,tertiary,no,264.0,no,no,aug,1105.0,2.0,0,unknown,0,0
27.0,blue-collar,single,secondary,no,43.0,yes,no,may,360.0,1.0,0,unknown,0,0
58.0,admin.,single,secondary,no,473.0,no,no,feb,179.0,2.0,1,other,0,0
55.0,management,single,tertiary,no,1091.0,yes,yes,nov,165.0,3.0,4,failure,0,1
39.0,blue-collar,divorced,secondary,no,194.0,no,no,may,141.0,1.0,0,unknown,0,0
34.0,management,married,secondary,no,249.0,no,no,aug,288.0,6.0,0,unknown,0,1
45.0,blue-collar,married,secondary,no,1332.0,yes,no,aug,719.0,2.0,0,unknown,0,1
30.0,blue-collar,married,secondary,no,464.0,yes,no,may,62.0,4.0,0,unknown,0,1
43.0,blue-collar,married,unknown,no,86.0,yes,no,may,26.0,1.0,0,unknown,0,1
60.0,retired,married,tertiary,no,2508.0,no,no,jul,176.0,4.0,0,unknown,0,1
76.0,retired,married,secondary,no,2656.0,no,no,nov,261.0,5.0,0,unknown,1,0
52.0,blue-collar,divorced,primary,no,217.0,yes,no,jun,86.0,5.0,0,unknown,0,0
33.0,technician,married,secondary,no,657.0,no,no,jun,118.0,1.0,0,unknown,0,1
33.0,management,divorced,tertiary,no,293.0,yes,no,jul,553.0,5.0,0,unknown,1,1
35.0,management,married,tertiary,yes,-1.0,yes,yes,nov,73.0,1.0,0,unknown,0,1
42.0,blue-collar,divorced,secondary,no,3259.0,no,no,jul,45.0,6.0,0,unknown,0,1
58.0,blue-collar,married,secondary,no,-42.0,yes,no,may,134.0,2.0,0,unknown,0,1
41.0,admin.,married,primary,no,247.0,yes,no,may,221.0,1.0,0,unknown,0,0
32.0,management,single,tertiary,no,1132.0,yes,no,may,257.0,2.0,0,unknown,0,1
29.0,technician,single,tertiary,no,3.0,no,yes,aug,232.0,3.0,0,unknown,0,0
34.0,technician,divorced,secondary,no,3068.0,yes,yes,nov,371.0,2.0,1,other,0,1
25.0,blue-collar,single,secondary,no,156.0,yes,no,may,996.0,2.0,2,failure,0,1
43.0,blue-collar,married,secondary,no,1144.0,yes,no,feb,363.0,2.0,3,other,1,0
35.0,admin.,married,secondary,no,370.0,no,no,aug,109.0,10.0,0,unknown,0,1
34.0,admin.,single,tertiary,no,14.0,yes,yes,apr,370.0,1.0,0,unknown,1,1
33.0,blue-collar,single,unknown,yes,-528.0,yes,no,may,151.0,1.0,0,unknown,0,0
29.0,management,single,secondary,no,204.0,yes,no,may,586.0,1.0,0,unknown,0,0
29.0,unemployed,divorced,secondary,no,1147.0,yes,no,may,83.0,2.0,1,failure,0,0
31.0,management,single,tertiary,no,984.0,yes,no,oct,311.0,1.0,2,success,1,1
59.0,blue-collar,divorced,secondary,no,1099.0,yes,no,jul,103.0,4.0,0,unknown,0,0
38.0,blue-collar,divorced,unknown,yes,-273.0,yes,yes,may,440.0,2.0,0,unknown,0,1
38.0,technician,single,secondary,no,821.0,yes,yes,aug,77.0,4.0,0,unknown,0,1
30.0,blue-collar,married,secondary,no,635.0,yes,no,may,230.0,4.0,0,unknown,0,1
33.0,management,single,tertiary,no,726.0,no,no,aug,114.0,6.0,0,unknown,0,1
32.0,blue-collar,divorced,primary,no,295.0,yes,no,may,928.0,2.0,0,unknown,1,0
40.0,blue-collar,married,secondary,no,425.0,yes,yes,may,263.0,1.0,0,unknown,0,1
49.0,technician,married,secondary,no,736.0,yes,no,nov,90.0,3.0,0,unknown,0,1
62.0,unemployed,married,primary,no,27.0,yes,no,may,187.0,6.0,0,unknown,0,1
31.0,admin.,single,secondary,no,391.0,yes,yes,jul,73.0,3.0,0,unknown,0,1
54.0,technician,married,secondary,no,-4.0,no,no,jun,56.0,4.0,0,unknown,0,1
21.0,admin.,single,secondary,no,1.0,yes,no,may,125.0,1.0,0,unknown,0,0
38.0,entrepreneur,married,primary,no,61.0,no,no,jul,418.0,2.0,0,unknown,0,1
55.0,blue-collar,married,primary,no,1941.0,yes,no,nov,75.0,3.0,0,unknown,0,1
45.0,management,married,unknown,no,802.0,yes,no,jul,434.0,1.0,0,unknown,0,1
43.0,technician,married,secondary,no,361.0,yes,no,apr,205.0,1.0,0,unknown,0,1
